Node name,1st Packet ms,2nd Packet ms,3rd Packet ms
PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,3,0.534,*,0.504
PLANETLAB1.CS.PURDUE.edu,3,0.540,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,3,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,4.167,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,3,0.724,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,3,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,3,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,3.406,*,*

PLANETLAB1.CS.PURDUE.edu,1,4.886,*,*

PLANETLAB1.CS.PURDUE.edu,3,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,3,0.626,*,*

PLANETLAB1.CS.PURDUE.edu,3,0.549,*,0.550
PLANETLAB1.CS.PURDUE.edu,1,4.335,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,4.640,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,3.503,*,*

PLANETLAB1.CS.PURDUE.edu,3,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,3.891,*,*

PLANETLAB1.CS.PURDUE.edu,3,0.545,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,3,0.560,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,3,0.528,*,0.495
PLANETLAB1.CS.PURDUE.edu,3,0.568,*,*

PLANETLAB1.CS.PURDUE.edu,1,3.903,*,*

PLANETLAB1.CS.PURDUE.edu,3,0.533,*,*

PLANETLAB1.CS.PURDUE.edu,1,3.164,*,*

PLANETLAB1.CS.PURDUE.edu,1,3.654,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,3,0.545,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,4.388,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,4.142,*,*

PLANETLAB1.CS.PURDUE.edu,1,4.165,*,*

PLANETLAB1.CS.PURDUE.edu,3,0.564,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,4.918,*,*

PLANETLAB1.CS.PURDUE.edu,1,5.197,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,3.691,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,4.623,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,3,0.565,*,*

PLANETLAB1.CS.PURDUE.edu,1,4.142,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,3.889,*,*

PLANETLAB1.CS.PURDUE.edu,10,*,*,*
PLANETLAB1.CS.PURDUE.edu,11,*,*,*
PLANETLAB1.CS.PURDUE.edu,12,*,*,*
PLANETLAB1.CS.PURDUE.edu,13,*,*,*
PLANETLAB1.CS.PURDUE.edu,14,*,*,*
PLANETLAB1.CS.PURDUE.edu,15,*,*,*
PLANETLAB1.CS.PURDUE.edu,16,*,*,*
PLANETLAB1.CS.PURDUE.edu,17,*,*,*
PLANETLAB1.CS.PURDUE.edu,18,*,*,*
PLANETLAB1.CS.PURDUE.edu,19,*,*,*
PLANETLAB1.CS.PURDUE.edu,20,*,*,*
PLANETLAB1.CS.PURDUE.edu,21,*,*,*
PLANETLAB1.CS.PURDUE.edu,22,*,*,*
PLANETLAB1.CS.PURDUE.edu,23,*,*,*
PLANETLAB1.CS.PURDUE.edu,24,*,*,*
PLANETLAB1.CS.PURDUE.edu,25,*,*,*
PLANETLAB1.CS.PURDUE.edu,26,*,*,*
PLANETLAB1.CS.PURDUE.edu,27,*,*,*
PLANETLAB1.CS.PURDUE.edu,28,*,*,*
PLANETLAB1.CS.PURDUE.edu,29,*,*,*
PLANETLAB1.CS.PURDUE.edu,30,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,3,0.578,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,*,*,*
