,min,avg,max,mdev
,,,,
planetlab5.eecs.umich.edu,130.44,130.513,130.704,0.475
,,,,
planetlab5.eecs.umich.edu,130.376,130.462,130.635,0.308
,,,,
planetlab5.eecs.umich.edu,130.379,130.446,130.574,0.123
,,,,
planetlab5.eecs.umich.edu,130.429,130.526,130.674,0.35
,,,,
planetlab5.eecs.umich.edu,130.432,130.5,130.676,0.285
,,,,
planetlab5.eecs.umich.edu,130.448,130.541,130.707,0.369
,,,,
planetlab5.eecs.umich.edu,130.379,130.65,133.534,0.765
,,,,
planetlab5.eecs.umich.edu,130.371,130.459,130.593,0.399
,,,,
planetlab5.eecs.umich.edu,130.37,130.458,130.585,0.4
,,,,
planetlab5.eecs.umich.edu,130.456,130.528,130.784,0.239
,,,,
planetlab5.eecs.umich.edu,130.342,130.467,130.667,0.139
,,,,
planetlab5.eecs.umich.edu,130.397,130.474,130.666,0.49
,,,,
planetlab5.eecs.umich.edu,130.4,130.541,131.043,0.24
,,,,
planetlab5.eecs.umich.edu,130.338,130.442,130.591,0.399
,,,,
planetlab5.eecs.umich.edu,130.365,130.442,130.582,0.234
,,,,
planetlab5.eecs.umich.edu,130.394,130.487,130.685,0.136
,,,,
planetlab5.eecs.umich.edu,130.324,130.416,130.586,0.057
,,,,
planetlab5.eecs.umich.edu,130.444,130.49,130.638,0.486
,,,,
planetlab5.eecs.umich.edu,130.38,130.5,131.559,0.453
,,,,
planetlab5.eecs.umich.edu,130.378,130.453,130.549,0.056
,,,,
planetlab5.eecs.umich.edu,130.44,130.553,130.719,0.369
,,,,
planetlab5.eecs.umich.edu,130.406,130.893,137.198,1.533
,,,,
planetlab5.eecs.umich.edu,130.304,130.447,130.735,0.48
,,,,
planetlab5.eecs.umich.edu,130.369,130.442,130.559,0.26
,,,,
planetlab5.eecs.umich.edu,130.341,130.39,130.547,0.501
,,,,
planetlab5.eecs.umich.edu,130.413,130.48,130.649,0.487
,,,,
planetlab5.eecs.umich.edu,130.38,130.491,130.67,0.503
,,,,
planetlab5.eecs.umich.edu,130.341,130.434,130.595,0.127
,,,,
planetlab5.eecs.umich.edu,130.326,130.425,130.517,0.233
,,,,
planetlab5.eecs.umich.edu,130.336,130.405,130.668,0.489
,,,,
planetlab5.eecs.umich.edu,130.351,130.454,130.62,0.417
,,,,
planetlab5.eecs.umich.edu,130.324,131.135,144.345,3.035
,,,,
planetlab5.eecs.umich.edu,130.364,130.503,130.719,0.423
,,,,
planetlab5.eecs.umich.edu,130.321,130.438,130.742,0.243
,,,,
planetlab5.eecs.umich.edu,130.378,130.477,130.647,0.177
,,,,
planetlab5.eecs.umich.edu,130.372,130.458,130.586,0.259
,,,,
planetlab5.eecs.umich.edu,130.379,130.495,130.614,0.234
,,,,
planetlab5.eecs.umich.edu,130.387,130.494,130.693,0.434
,,,,
planetlab5.eecs.umich.edu,130.41,130.501,130.771,0.271
,,,,
planetlab5.eecs.umich.edu,130.349,130.448,130.604,0.287
,,,,
planetlab5.eecs.umich.edu,130.29,130.381,130.544,0.431
,,,,
planetlab5.eecs.umich.edu,130.375,130.424,130.582,0.472
,,,,
planetlab5.eecs.umich.edu,130.387,130.476,130.765,0.476
,,,,
planetlab5.eecs.umich.edu,130.445,130.509,130.621,0.044
,,,,
planetlab5.eecs.umich.edu,130.406,130.498,130.708,0.183
,,,,
planetlab5.eecs.umich.edu,130.399,130.489,130.656,0.474
,,,,
planetlab5.eecs.umich.edu,130.416,130.497,130.652,0.43
,,,,
planetlab5.eecs.umich.edu,130.435,130.528,130.893,0.495
,,,,
planetlab5.eecs.umich.edu,130.454,130.569,130.987,0.507
,,,,
planetlab5.eecs.umich.edu,130.422,130.472,130.534,0.324
,,,,
planetlab5.eecs.umich.edu,130.389,130.479,130.609,0.054
,,,,
planetlab5.eecs.umich.edu,130.411,130.507,130.741,0.177
,,,,
planetlab5.eecs.umich.edu,130.394,130.464,130.587,0.232
,,,,
planetlab5.eecs.umich.edu,130.366,130.473,130.624,0.474
,,,,
planetlab5.eecs.umich.edu,130.416,130.506,130.685,0.403
,,,,
planetlab5.eecs.umich.edu,130.389,130.5,130.718,0.388
,,,,
planetlab5.eecs.umich.edu,130.455,130.523,130.714,0.446
,,,,
planetlab5.eecs.umich.edu,130.424,130.493,130.738,0.141
,,,,
planetlab5.eecs.umich.edu,130.393,130.487,130.708,0.371
,,,,
planetlab5.eecs.umich.edu,130.356,130.476,130.74,0.371
,,,,
planetlab5.eecs.umich.edu,130.447,130.526,130.729,0.06
,,,,
