Node name,1st Packet ms,2nd Packet ms,3rd Packet ms
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
planetlab5.eecs.umich.edu,17,*,*,*
