,min,avg,max,mdev
,,,,
PLANETLAB2.UTDALLAS.EDU,40.118,40.169,40.27,0.13
,,,,
PLANETLAB2.UTDALLAS.EDU,40.138,40.171,40.221,0.18
,,,,
PLANETLAB2.UTDALLAS.EDU,31.181,31.229,31.368,0.154
,,,,
PLANETLAB2.UTDALLAS.EDU,52.474,52.537,52.604,0.282
,,,,
PLANETLAB2.UTDALLAS.EDU,40.133,40.188,40.291,0.095
,,,,
PLANETLAB2.UTDALLAS.EDU,40.177,40.24,40.389,0.207
,,,,
PLANETLAB2.UTDALLAS.EDU,40.16,40.206,40.269,0.212
,,,,
PLANETLAB2.UTDALLAS.EDU,40.181,40.216,40.257,0.066
,,,,
PLANETLAB2.UTDALLAS.EDU,40.164,40.219,40.293,0.114
,,,,
PLANETLAB2.UTDALLAS.EDU,40.176,40.245,40.512,0.071
,,,,
PLANETLAB2.UTDALLAS.EDU,40.191,40.236,40.283,0.211
,,,,
PLANETLAB2.UTDALLAS.EDU,40.186,40.239,40.289,0.156
,,,,
PLANETLAB2.UTDALLAS.EDU,40.189,40.243,40.376,0.223
,,,,
PLANETLAB2.UTDALLAS.EDU,40.186,40.245,40.325,0.026
,,,,
PLANETLAB2.UTDALLAS.EDU,40.21,40.266,40.324,0.115
,,,,
PLANETLAB2.UTDALLAS.EDU,40.203,40.252,40.414,0.257
,,,,
PLANETLAB2.UTDALLAS.EDU,40.208,40.257,40.301,0.223
,,,,
PLANETLAB2.UTDALLAS.EDU,40.261,40.317,40.382,0.212
,,,,
PLANETLAB2.UTDALLAS.EDU,40.237,40.278,40.507,0.165
,,,,
PLANETLAB2.UTDALLAS.EDU,40.204,40.243,40.277,0.018
,,,,
PLANETLAB2.UTDALLAS.EDU,40.224,40.275,40.461,0.199
,,,,
PLANETLAB2.UTDALLAS.EDU,40.261,40.318,40.564,0.156
,,,,
PLANETLAB2.UTDALLAS.EDU,40.269,40.312,40.379,0.17
,,,,
PLANETLAB2.UTDALLAS.EDU,40.272,40.313,40.378,0.262
,,,,
PLANETLAB2.UTDALLAS.EDU,40.281,40.33,40.481,0.186
,,,,
PLANETLAB2.UTDALLAS.EDU,40.276,40.305,40.354,0.277
,,,,
PLANETLAB2.UTDALLAS.EDU,40.271,40.349,40.515,0.284
,,,,
PLANETLAB2.UTDALLAS.EDU,40.277,40.321,40.366,0.143
,,,,
PLANETLAB2.UTDALLAS.EDU,40.242,40.281,40.403,0.246
,,,,
PLANETLAB2.UTDALLAS.EDU,40.231,40.302,40.698,0.17
,,,,
PLANETLAB2.UTDALLAS.EDU,40.232,40.277,40.337,0.255
,,,,
PLANETLAB2.UTDALLAS.EDU,40.247,40.334,40.61,0.146
,,,,
PLANETLAB2.UTDALLAS.EDU,40.264,40.373,40.637,0.24
,,,,
PLANETLAB2.UTDALLAS.EDU,40.251,40.307,40.386,0.256
,,,,
PLANETLAB2.UTDALLAS.EDU,40.245,40.331,40.45,0.207
,,,,
PLANETLAB2.UTDALLAS.EDU,40.239,40.306,40.556,0.155
,,,,
PLANETLAB2.UTDALLAS.EDU,40.258,40.323,40.558,0.192
,,,,
PLANETLAB2.UTDALLAS.EDU,40.338,40.395,40.571,0.25
,,,,
PLANETLAB2.UTDALLAS.EDU,40.33,40.369,40.432,0.255
,,,,
PLANETLAB2.UTDALLAS.EDU,40.319,40.378,40.441,0.222
,,,,
PLANETLAB2.UTDALLAS.EDU,40.335,40.387,40.462,0.203
,,,,
PLANETLAB2.UTDALLAS.EDU,40.343,40.384,40.421,0.238
,,,,
PLANETLAB2.UTDALLAS.EDU,40.343,40.487,42.396,0.486
,,,,
PLANETLAB2.UTDALLAS.EDU,40.353,40.398,40.451,0.255
,,,,
PLANETLAB2.UTDALLAS.EDU,40.37,40.434,40.615,0.084
,,,,
PLANETLAB2.UTDALLAS.EDU,40.356,40.392,40.478,0.256
,,,,
PLANETLAB2.UTDALLAS.EDU,40.274,40.343,40.753,0.106
,,,,
PLANETLAB2.UTDALLAS.EDU,40.337,40.432,40.639,0.253
,,,,
PLANETLAB2.UTDALLAS.EDU,40.369,40.431,40.48,0.278
,,,,
PLANETLAB2.UTDALLAS.EDU,40.288,40.341,40.382,0.263
,,,,
PLANETLAB2.UTDALLAS.EDU,40.381,40.634,41.609,0.407
,,,,
PLANETLAB2.UTDALLAS.EDU,40.28,40.341,40.456,0.12
,,,,
PLANETLAB2.UTDALLAS.EDU,40.323,40.45,40.71,0.077
,,,,
PLANETLAB2.UTDALLAS.EDU,40.349,40.434,40.481,0.096
,,,,
PLANETLAB2.UTDALLAS.EDU,40.306,40.415,41.856,0.331
,,,,
PLANETLAB2.UTDALLAS.EDU,40.322,40.395,41.166,0.324
,,,,
PLANETLAB2.UTDALLAS.EDU,40.289,40.393,40.86,0.21
,,,,
PLANETLAB2.UTDALLAS.EDU,40.314,40.343,40.392,0.27
,,,,
PLANETLAB2.UTDALLAS.EDU,40.321,40.336,40.4,0.111
,,,,
PLANETLAB2.UTDALLAS.EDU,40.303,40.396,40.787,0.169
,,,,
PLANETLAB2.UTDALLAS.EDU,40.306,40.358,40.501,0.232
,,,,
PLANETLAB2.UTDALLAS.EDU,40.319,40.346,40.395,0.147
,,,,
PLANETLAB2.UTDALLAS.EDU,40.342,40.463,40.522,0.153
,,,,
PLANETLAB2.UTDALLAS.EDU,40.321,40.381,40.502,0.219
,,,,
PLANETLAB2.UTDALLAS.EDU,40.313,40.356,40.405,0.262
,,,,
PLANETLAB2.UTDALLAS.EDU,40.327,40.365,40.409,0.025
,,,,
PLANETLAB2.UTDALLAS.EDU,40.33,40.396,40.51,0.208
,,,,
PLANETLAB2.UTDALLAS.EDU,40.327,40.361,40.392,0.02
,,,,
PLANETLAB2.UTDALLAS.EDU,40.315,40.374,40.474,0.095
,,,,
PLANETLAB2.UTDALLAS.EDU,40.326,40.412,41.121,0.315
,,,,
PLANETLAB2.UTDALLAS.EDU,40.458,40.499,40.564,0.17
,,,,
PLANETLAB2.UTDALLAS.EDU,40.469,40.504,40.548,0.181
,,,,
PLANETLAB2.UTDALLAS.EDU,40.456,40.497,40.53,0.255
,,,,
PLANETLAB2.UTDALLAS.EDU,40.328,40.373,40.468,0.181
,,,,
PLANETLAB2.UTDALLAS.EDU,40.337,40.411,40.92,0.243
,,,,
PLANETLAB2.UTDALLAS.EDU,40.337,40.383,40.434,0.17
,,,,
PLANETLAB2.UTDALLAS.EDU,40.36,40.392,40.433,0.211
,,,,
PLANETLAB2.UTDALLAS.EDU,40.367,40.49,40.707,0.132
,,,,
PLANETLAB2.UTDALLAS.EDU,40.361,40.49,40.65,0.257
,,,,
PLANETLAB2.UTDALLAS.EDU,40.352,40.406,40.539,0.281
,,,,
PLANETLAB2.UTDALLAS.EDU,40.366,40.396,40.473,0.181
,,,,
PLANETLAB2.UTDALLAS.EDU,40.369,40.405,40.567,0.249
,,,,
PLANETLAB2.UTDALLAS.EDU,40.358,40.403,40.557,0.149
,,,,
PLANETLAB2.UTDALLAS.EDU,40.371,40.397,40.432,0.169
,,,,
PLANETLAB2.UTDALLAS.EDU,40.384,40.41,40.468,0.068
,,,,
PLANETLAB2.UTDALLAS.EDU,40.351,40.411,40.453,0.182
,,,,
PLANETLAB2.UTDALLAS.EDU,40.36,40.396,40.437,0.247
,,,,
PLANETLAB2.UTDALLAS.EDU,40.391,40.42,40.54,0.194
