,min,avg,max,mdev
,,,,
planetlab-n2.wand.net.nz,171.497,171.759,175.396,0.885
,,,,
planetlab-n2.wand.net.nz,171.515,171.962,174.313,0.799
,,,,
planetlab-n2.wand.net.nz,171.517,172.184,176.373,1.281
,,,,
planetlab-n2.wand.net.nz,171.516,172.035,173.902,0.7
,,,,
planetlab-n2.wand.net.nz,171.562,175.196,187.462,3.789
,,,,
planetlab-n2.wand.net.nz,171.506,171.543,171.591,0.507
,,,,
planetlab-n2.wand.net.nz,171.535,172.149,180.462,2
,,,,
planetlab-n2.wand.net.nz,171.513,171.904,178.43,1.542
,,,,
planetlab-n2.wand.net.nz,171.521,171.654,172.302,0.408
,,,,
planetlab-n2.wand.net.nz,171.491,171.553,171.82,0.458
,,,,
planetlab-n2.wand.net.nz,171.528,173.31,191.348,5.076
,,,,
planetlab-n2.wand.net.nz,171.519,171.573,171.756,0.266
,,,,
planetlab-n2.wand.net.nz,171.514,171.795,173.701,0.719
,,,,
planetlab-n2.wand.net.nz,171.521,172.349,175.718,1.034
,,,,
planetlab-n2.wand.net.nz,171.527,174.097,187.083,4.107
,,,,
planetlab-n2.wand.net.nz,171.527,173.185,177.623,1.944
,,,,
planetlab-n2.wand.net.nz,171.557,172.859,178.847,1.974
,,,,
planetlab-n2.wand.net.nz,171.524,173.517,177.577,1.844
,,,,
planetlab-n2.wand.net.nz,171.508,173.16,177.583,1.73
,,,,
planetlab-n2.wand.net.nz,171.527,173.223,179.429,2.493
,,,,
planetlab-n2.wand.net.nz,171.512,172.445,179.302,1.917
,,,,
planetlab-n2.wand.net.nz,171.522,171.688,172.282,0.549
,,,,
planetlab-n2.wand.net.nz,171.525,172.373,176.019,1.076
,,,,
planetlab-n2.wand.net.nz,171.519,171.549,171.589,0.37
,,,,
planetlab-n2.wand.net.nz,171.499,171.549,171.636,0.416
,,,,
planetlab-n2.wand.net.nz,171.522,172.233,178.609,1.652
,,,,
planetlab-n2.wand.net.nz,171.52,171.56,171.601,0.132
,,,,
planetlab-n2.wand.net.nz,171.522,171.772,172.894,0.578
,,,,
planetlab-n2.wand.net.nz,171.526,175.993,198.317,6.245
,,,,
planetlab-n2.wand.net.nz,171.493,171.761,175.494,1.004
,,,,
planetlab-n2.wand.net.nz,171.485,171.579,172.319,0.519
,,,,
planetlab-n2.wand.net.nz,171.516,171.825,177.186,1.304
,,,,
planetlab-n2.wand.net.nz,171.513,171.705,174.908,0.883
,,,,
planetlab-n2.wand.net.nz,171.54,171.795,172.436,0.602
,,,,
planetlab-n2.wand.net.nz,171.513,171.537,171.595,0.293
,,,,
planetlab-n2.wand.net.nz,171.515,171.536,171.568,0.37
,,,,
planetlab-n2.wand.net.nz,171.492,171.548,171.635,0.454
,,,,
planetlab-n2.wand.net.nz,171.545,171.908,173.1,0.678
,,,,
planetlab-n2.wand.net.nz,171.543,172.068,173.555,0.761
,,,,
planetlab-n2.wand.net.nz,171.531,172.364,174.297,0.902
,,,,
planetlab-n2.wand.net.nz,171.499,172.498,183.928,2.662
,,,,
planetlab-n2.wand.net.nz,171.544,172.356,179.35,1.712
,,,,
planetlab-n2.wand.net.nz,171.554,172.32,173.635,0.699
,,,,
planetlab-n2.wand.net.nz,171.515,172.78,176.139,1.433
,,,,
planetlab-n2.wand.net.nz,171.548,171.836,172.704,0.598
,,,,
planetlab-n2.wand.net.nz,171.568,171.984,173.881,0.719
,,,,
planetlab-n2.wand.net.nz,171.523,172.122,173.849,0.738
,,,,
planetlab-n2.wand.net.nz,171.539,172.906,178.194,1.781
,,,,
planetlab-n2.wand.net.nz,171.52,171.81,173.198,0.538
,,,,
planetlab-n2.wand.net.nz,171.551,172.031,173.657,0.672
,,,,
planetlab-n2.wand.net.nz,171.522,171.818,173.694,0.799
,,,,
planetlab-n2.wand.net.nz,171.502,171.549,171.622,0.571
,,,,
planetlab-n2.wand.net.nz,171.509,171.554,171.7,0.231
,,,,
planetlab-n2.wand.net.nz,171.505,171.905,177.015,1.292
,,,,
planetlab-n2.wand.net.nz,171.512,171.557,171.776,0.493
,,,,
planetlab-n2.wand.net.nz,171.522,171.832,177.209,1.327
,,,,
planetlab-n2.wand.net.nz,171.512,171.57,171.762,0.143
,,,,
planetlab-n2.wand.net.nz,171.506,171.832,175.795,1.116
,,,,
planetlab-n2.wand.net.nz,171.506,171.552,171.652,0.415
,,,,
planetlab-n2.wand.net.nz,171.5,171.551,171.647,0.491
,,,,
planetlab-n2.wand.net.nz,171.516,171.7,174.334,0.672
,,,,
planetlab-n2.wand.net.nz,171.504,171.571,171.672,0.373
,,,,
planetlab-n2.wand.net.nz,171.523,172.171,180.325,1.963
,,,,
planetlab-n2.wand.net.nz,171.516,171.648,172.346,0.523
,,,,
planetlab-n2.wand.net.nz,171.539,171.806,173.194,0.675
,,,,
planetlab-n2.wand.net.nz,171.515,171.698,172.36,0.452
,,,,
planetlab-n2.wand.net.nz,171.512,171.592,171.941,0.36
,,,,
planetlab-n2.wand.net.nz,171.512,171.774,173.128,0.534
,,,,
planetlab-n2.wand.net.nz,171.532,171.618,172.062,0.236
,,,,
planetlab-n2.wand.net.nz,171.523,171.723,172.611,0.353
,,,,
planetlab-n2.wand.net.nz,171.536,171.575,171.634,0.371
,,,,
planetlab-n2.wand.net.nz,171.53,171.648,172.998,0.386
,,,,
planetlab-n2.wand.net.nz,171.516,172.159,175.583,1.097
,,,,
planetlab-n2.wand.net.nz,171.534,171.611,172.23,0.459
,,,,
planetlab-n2.wand.net.nz,171.511,171.638,172.362,0.557
,,,,
planetlab-n2.wand.net.nz,171.52,171.867,175.67,0.956
,,,,
planetlab-n2.wand.net.nz,171.504,171.553,171.744,0.297
,,,,
planetlab-n2.wand.net.nz,171.511,171.885,175.171,1.093
,,,,
planetlab-n2.wand.net.nz,171.491,171.806,175.504,1.036
,,,,
planetlab-n2.wand.net.nz,171.502,171.835,177.336,1.269
,,,,
