,min,avg,max,mdev
,,,,
Planetlab1.cs.ucla.edu,24.461,24.584,25.048,0.163
,,,,
Planetlab1.cs.ucla.edu,24.479,24.544,24.746,0.207
,,,,
Planetlab1.cs.ucla.edu,24.459,24.57,24.727,0.159
,,,,
Planetlab1.cs.ucla.edu,24.462,24.582,25.151,0.178
,,,,
Planetlab1.cs.ucla.edu,24.509,24.587,24.777,0.212
,,,,
Planetlab1.cs.ucla.edu,24.468,24.577,24.698,0.128
,,,,
Planetlab1.cs.ucla.edu,24.452,24.569,24.798,0.15
,,,,
Planetlab1.cs.ucla.edu,24.501,24.691,25.214,0.257
,,,,
Planetlab1.cs.ucla.edu,24.477,24.612,25.137,0.238
,,,,
Planetlab1.cs.ucla.edu,24.456,24.524,24.76,0.189
,,,,
Planetlab1.cs.ucla.edu,24.477,24.557,24.718,0.225
,,,,
Planetlab1.cs.ucla.edu,24.499,24.623,24.9,0.189
,,,,
Planetlab1.cs.ucla.edu,24.491,24.765,26.639,0.546
,,,,
Planetlab1.cs.ucla.edu,24.451,24.707,27.518,0.683
,,,,
Planetlab1.cs.ucla.edu,24.447,24.564,24.849,0.217
,,,,
Planetlab1.cs.ucla.edu,24.48,24.578,24.806,0.108
,,,,
Planetlab1.cs.ucla.edu,24.484,24.632,25.547,0.307
,,,,
Planetlab1.cs.ucla.edu,24.471,24.618,25.578,0.315
,,,,
Planetlab1.cs.ucla.edu,24.472,24.56,24.86,0.128
,,,,
Planetlab1.cs.ucla.edu,24.47,24.561,24.992,0.254
,,,,
Planetlab1.cs.ucla.edu,24.467,24.562,24.781,0.189
,,,,
Planetlab1.cs.ucla.edu,24.473,24.546,25.033,0.167
,,,,
Planetlab1.cs.ucla.edu,24.479,24.583,24.879,0.196
,,,,
Planetlab1.cs.ucla.edu,24.48,24.591,25.033,0.172
,,,,
Planetlab1.cs.ucla.edu,24.471,24.615,25.065,0.23
,,,,
Planetlab1.cs.ucla.edu,24.485,24.585,24.96,0.133
,,,,
Planetlab1.cs.ucla.edu,52.229,65.877,67.866,3.206
,,,,
Planetlab1.cs.ucla.edu,24.463,24.6,24.975,0.177
,,,,
Planetlab1.cs.ucla.edu,24.476,24.624,24.922,0.157
,,,,
Planetlab1.cs.ucla.edu,24.472,24.595,24.827,0.23
,,,,
Planetlab1.cs.ucla.edu,24.482,24.562,24.71,0.119
,,,,
Planetlab1.cs.ucla.edu,24.459,24.534,24.898,0.182
,,,,
Planetlab1.cs.ucla.edu,24.456,24.652,25.399,0.25
,,,,
Planetlab1.cs.ucla.edu,24.459,24.534,24.69,0.168
,,,,
Planetlab1.cs.ucla.edu,24.445,24.566,25.001,0.222
,,,,
Planetlab1.cs.ucla.edu,35.471,35.551,35.724,0.261
,,,,
Planetlab1.cs.ucla.edu,35.491,35.545,35.628,0.225
,,,,
Planetlab1.cs.ucla.edu,24.44,24.519,24.627,0.095
,,,,
Planetlab1.cs.ucla.edu,24.453,24.554,25.215,0.266
,,,,
Planetlab1.cs.ucla.edu,24.457,24.571,25.023,0.258
,,,,
Planetlab1.cs.ucla.edu,24.447,24.591,25.101,0.288
,,,,
Planetlab1.cs.ucla.edu,24.449,24.557,24.864,0.117
,,,,
Planetlab1.cs.ucla.edu,24.479,24.576,24.943,0.218
,,,,
Planetlab1.cs.ucla.edu,24.486,30.778,42.803,8.479
,,,,
Planetlab1.cs.ucla.edu,24.436,24.516,24.788,0.2
,,,,
Planetlab1.cs.ucla.edu,24.457,24.51,24.674,0.216
,,,,
Planetlab1.cs.ucla.edu,24.467,24.78,25.876,0.371
,,,,
Planetlab1.cs.ucla.edu,24.462,24.724,25.656,0.365
,,,,
Planetlab1.cs.ucla.edu,24.482,28.548,35.495,4.144
,,,,
Planetlab1.cs.ucla.edu,24.481,24.605,25.031,0.181
,,,,
Planetlab1.cs.ucla.edu,24.485,24.918,27.242,0.652
,,,,
Planetlab1.cs.ucla.edu,24.471,24.678,25.056,0.215
,,,,
Planetlab1.cs.ucla.edu,24.461,24.567,24.863,0.105
,,,,
Planetlab1.cs.ucla.edu,24.479,24.624,24.843,0.098
,,,,
Planetlab1.cs.ucla.edu,24.51,28.188,34.982,4.774
,,,,
Planetlab1.cs.ucla.edu,24.485,24.561,24.989,0.214
,,,,
Planetlab1.cs.ucla.edu,24.454,24.552,24.82,0.211
,,,,
Planetlab1.cs.ucla.edu,24.476,24.567,24.872,0.214
,,,,
Planetlab1.cs.ucla.edu,24.467,24.577,25.135,0.165
,,,,
